Nr;X;Blok_Rij_Plantnr;Score MG;Vers netto;Droog netto;DS;DMY (kg/ha);Datum;Uur;;;;
1950;;BLOK II_17_30;2;146,8;37,6;0,26;4178;13/04/2022;11:59;;;;
1951;;BLOK II_17_31;3;122,6;32,1;0,26;3567;13/04/2022;11:59;;;;
1952;;BLOK II_17_32;4;275,3;66,6;0,24;7400;13/04/2022;11:59;;;;
1953;;BLOK II_18_1;4;206,7;53,6;0,26;5956;13/04/2022;12:07;;;;
1954;;BLOK II_18_2;2;98,7;24,6;0,25;2733;13/04/2022;12:07;;;;
1955;;BLOK II_18_3;4;240,1;64,1;0,27;7122;13/04/2022;12:07;;;;
1956;;BLOK II_18_4;2;102,5;25,1;0,24;2789;13/04/2022;12:07;;;;
1957;;BLOK II_18_5;3;157,7;41,6;0,26;4622;13/04/2022;12:07;;;;
1958;;BLOK II_18_6;3;172,7;45,1;0,26;5011;13/04/2022;12:07;;;;
1959;;BLOK II_18_7;1;25,5;4,6;0,18;511;13/04/2022;12:07;;;;
1960;;BLOK II_18_8;2;120,3;33,6;0,28;3733;13/04/2022;12:07;;;;
1961;;BLOK II_18_9;1;-4,9;-4,9;1;-544;13/04/2022;12:07;;;;
1962;;BLOK II_18_10;3;179,8;44,1;0,25;4900;13/04/2022;12:07;;;;
1963;;BLOK II_18_11;2;156,5;49,6;0,32;5511;13/04/2022;12:07;;;;
1964;;BLOK II_18_12;2;131,4;34,1;0,26;3789;13/04/2022;12:07;;;;
1965;;BLOK II_18_13;2;113,2;27,6;0,24;3067;13/04/2022;12:07;;;;
1966;;BLOK II_18_14;2;120,2;29,1;0,24;3233;13/04/2022;12:07;;;;
1967;;BLOK II_18_15;2;108;26,6;0,25;2956;13/04/2022;12:07;;;;
1968;;BLOK II_18_16;2;60,4;18,6;0,31;2067;13/04/2022;12:07;;;;
1969;;BLOK II_18_17;3;146,9;43,1;0,29;4789;13/04/2022;12:07;;;;
1970;;BLOK II_18_18;1;53;14,6;0,28;1622;13/04/2022;12:07;;;;
1971;;BLOK II_18_19;4;329,4;81,6;0,25;9067;13/04/2022;12:07;;;;
1972;;BLOK II_18_20;2;59;16,1;0,27;1789;13/04/2022;12:07;;;;
1973;;BLOK II_18_21;2;69,8;16,1;0,23;1789;13/04/2022;12:07;;;;
1974;;BLOK II_18_22;1;88,8;22,1;0,25;2456;13/04/2022;12:07;;;;
1975;;BLOK II_18_23;1;85,4;27,6;0,32;3067;13/04/2022;12:07;;;;
1976;;BLOK II_18_24;2;145,3;39,1;0,27;4344;13/04/2022;12:07;;;;
1977;;BLOK II_18_25;2;134;35,1;0,26;3900;13/04/2022;12:07;;;;
1978;;BLOK II_18_26;3;138;31,1;0,23;3456;13/04/2022;12:07;;;;
1979;;BLOK II_18_27;3;187,4;49,6;0,26;5511;13/04/2022;12:07;;;;
1980;;BLOK II_18_28;0;-4,9;-4,9;1;-544;13/04/2022;12:07;;;;
1981;;BLOK II_18_29;2;127,8;32,1;0,25;3567;13/04/2022;12:07;;;;
1982;;BLOK II_18_30;2;77,1;20,6;0,27;2289;13/04/2022;12:07;;;;
1983;;BLOK II_18_31;5;236,8;60,6;0,26;6733;13/04/2022;12:07;;;;
1984;;BLOK II_18_32;5;283,9;68,6;0,24;7622;13/04/2022;12:07;;;;
1985;;BLOK II_19_1;0;-4,9;-4,9;1;-544;13/04/2022;12:16;;;;
1986;;BLOK II_19_2;1;78,8;20,1;0,26;2233;13/04/2022;12:16;;;;
1987;;BLOK II_19_3;1;46,1;11,6;0,25;1289;13/04/2022;12:16;;;;
1988;;BLOK II_19_4;3;145,1;35,1;0,24;3900;13/04/2022;12:16;;;;
1989;;BLOK II_19_5;2;118,1;30,1;0,25;3344;13/04/2022;12:16;;;;
1990;;BLOK II_19_6;2;85,6;21,6;0,25;2400;13/04/2022;12:16;;;;
1991;;BLOK II_19_7;3;181,2;40,6;0,22;4511;13/04/2022;12:16;;;;
1992;;BLOK II_19_8;3;111,8;24,6;0,22;2733;13/04/2022;12:16;;;;
1993;;BLOK II_19_9;4;182,5;42,6;0,23;4733;13/04/2022;12:16;;;;
1994;;BLOK II_19_10;1;32,5;9,1;0,28;1011;13/04/2022;12:16;;;;
1995;;BLOK II_19_11;3;173,3;49,1;0,28;5456;13/04/2022;12:16;;;;
1996;;BLOK II_19_12;2;93,2;22,1;0,24;2456;13/04/2022;12:16;;;;
1997;;BLOK II_19_13;3;218,7;50,1;0,23;5567;13/04/2022;12:16;;;;
1998;;BLOK II_19_14;3;170,4;40,6;0,24;4511;13/04/2022;12:16;;;;
1999;;BLOK II_19_15;3;137,9;29,1;0,21;3233;13/04/2022;12:16;;;;
2000;;BLOK II_19_16;3;113,9;32,6;0,29;3622;13/04/2022;12:16;;;;
2001;;BLOK II_19_17;2;86,2;21,1;0,24;2344;13/04/2022;12:16;;;;
2002;;BLOK II_19_18;2;136,7;37,1;0,27;4122;13/04/2022;12:16;;;;
2003;;BLOK II_19_19;1;19,4;5,6;0,29;622;13/04/2022;12:16;;;;
2004;;BLOK II_19_20;1;40,1;11,6;0,29;1289;13/04/2022;12:16;;;;
2005;;BLOK II_19_21;3;212,6;52,1;0,25;5789;13/04/2022;12:16;;;;
2006;;BLOK II_19_22;0;38,7;13,1;0,34;1456;13/04/2022;12:16;;;;
2007;;BLOK II_19_23;0;-4,9;-4,9;1;-544;13/04/2022;12:16;;;;
2008;;BLOK II_19_24;2;164,5;43,1;0,26;4789;13/04/2022;12:16;;;;
2009;;BLOK II_19_25;3;183,7;41,1;0,22;4567;13/04/2022;12:16;;;;
2010;;BLOK II_19_26;2;73,2;20,1;0,27;2233;13/04/2022;12:16;;;;
2011;;BLOK II_19_27;0;-4,9;-4,9;1;-544;13/04/2022;12:16;;;;
2012;;BLOK II_19_28;3;166,7;40,1;0,24;4456;13/04/2022;12:16;;;;
2013;;BLOK II_19_29;2;109,8;27,1;0,25;3011;13/04/2022;12:16;;;;
2014;;BLOK II_19_30;2;128,1;35,6;0,28;3956;13/04/2022;12:16;;;;
2015;;BLOK II_19_31;2;96,2;28,1;0,29;3122;13/04/2022;12:16;;;;
2016;;BLOK II_19_32;4;200,7;53,1;0,26;5900;13/04/2022;12:16;;;;
2017;;BLOK II_20_1;3;258,2;70,6;0,27;7844;13/04/2022;12:19;;;;
2018;;BLOK II_20_2;2;138,8;39,1;0,28;4344;13/04/2022;12:19;;;;
2019;;BLOK II_20_3;4;230,2;57,1;0,25;6344;13/04/2022;12:19;;;;
2020;;BLOK II_20_4;4;206,8;50,6;0,24;5622;13/04/2022;12:19;;;;
2021;;BLOK II_20_5;2;96,2;26,1;0,27;2900;13/04/2022;12:19;;;;
2022;;BLOK II_20_6;1;15;3,1;0,21;344;13/04/2022;12:19;;;;
2023;;BLOK II_20_7;2;128,4;31,6;0,25;3511;13/04/2022;12:19;;;;
2024;;BLOK II_20_8;3;175,8;40,1;0,23;4456;13/04/2022;12:19;;;;
2025;;BLOK II_20_9;2;136,3;33,1;0,24;3678;13/04/2022;12:19;;;;
2026;;BLOK II_20_10;4;146,3;35,1;0,24;3900;13/04/2022;12:19;;;;
2027;;BLOK II_20_11;4;206,8;57,6;0,28;6400;13/04/2022;12:19;;;;
2028;;BLOK II_20_12;2;131,6;32,1;0,24;3567;13/04/2022;12:19;;;;
2029;;BLOK II_20_13;2;97,1;27,1;0,28;3011;13/04/2022;12:19;;;;
2030;;BLOK II_20_14;2;48;11,6;0,24;1289;13/04/2022;12:19;;;;
2031;;BLOK II_20_15;2;98,2;25,1;0,26;2789;13/04/2022;12:19;;;;
2032;;BLOK II_20_16;0;-4,9;-4,9;1;-544;13/04/2022;12:19;;;;
2033;;BLOK II_20_17;2;77,3;17,1;0,22;1900;13/04/2022;12:19;;;;
2034;;BLOK II_20_18;2;83;20,6;0,25;2289;13/04/2022;12:19;;;;
2035;;BLOK II_20_19;3;166,4;37,6;0,23;4178;13/04/2022;12:19;;;;
2036;;BLOK II_20_20;3;179,7;55,6;0,31;6178;13/04/2022;12:19;;;;
2037;;BLOK II_20_21;2;87,1;18,6;0,21;2067;13/04/2022;12:19;;;;
2038;;BLOK II_20_22;2;218,5;60,6;0,28;6733;13/04/2022;12:19;;;;
2039;;BLOK II_20_23;1;39,3;9,6;0,24;1067;13/04/2022;12:19;;;;
2040;;BLOK II_20_24;2;182,9;48,1;0,26;5344;13/04/2022;12:19;;;;
2041;;BLOK II_20_25;2;87,4;20,1;0,23;2233;13/04/2022;12:19;;;;
2042;;BLOK II_20_26;2;95,6;25,1;0,26;2789;13/04/2022;12:19;;;;
2043;;BLOK II_20_27;3;224,5;59,1;0,26;6567;13/04/2022;12:19;;;;
2044;;BLOK II_20_28;2;138,7;39,1;0,28;4344;13/04/2022;12:19;;;;
2045;;BLOK II_20_29;2;132,2;33,1;0,25;3678;13/04/2022;12:19;;;;
2046;;BLOK II_20_30;3;149,9;41,6;0,28;4622;13/04/2022;12:19;;;;
2047;;BLOK II_20_31;3;185,1;49,1;0,27;5456;13/04/2022;12:19;;;;
2048;;BLOK II_20_32;0;-4,9;-4,9;1;-544;13/04/2022;12:19;;;;
2049;x;BLOK II_21_1;0;-4,9;-4,9;1;-544;13/04/2022;13:15;;;;
2050;x;BLOK II_21_2;2;141,7;39,4;0,28;4378;13/04/2022;13:15;;;;
2051;x;BLOK II_21_3;2;144,4;36,3;0,25;4033;13/04/2022;13:15;;;;
2052;x;BLOK II_21_4;2;49,2;12,9;0,26;1433;13/04/2022;13:15;;;;
2053;x;BLOK II_21_5;2;107,9;27,1;0,25;3011;13/04/2022;13:15;;;;
2054;x;BLOK II_21_6;2;103,6;27,9;0,27;3100;13/04/2022;13:15;;;;
2055;x;BLOK II_21_7;2;105,4;27,2;0,26;3022;13/04/2022;13:15;;;;
2056;x;BLOK II_21_8;2;56,7;16,9;0,3;1878;13/04/2022;13:15;;;;
2057;x;BLOK II_21_9;3;124,3;30,9;0,25;3433;13/04/2022;13:15;;;;
2058;x;BLOK II_21_10;0;-4,9;-4,9;1;-544;13/04/2022;13:15;;;;
2059;x;BLOK II_21_11;2;87,6;28,9;0,33;3211;13/04/2022;13:15;;;;
2060;x;BLOK II_21_12;3;212,8;49;0,23;5444;13/04/2022;13:15;;;;
2061;x;BLOK II_21_13;2;104,7;26,6;0,25;2956;13/04/2022;13:15;;;;
2062;x;BLOK II_21_14;2;143,7;36,4;0,25;4044;13/04/2022;13:15;;;;
2063;x;BLOK II_21_15;2;81,5;21,9;0,27;2433;13/04/2022;13:15;;;;
2064;x;BLOK II_21_16;3;143,3;37,7;0,26;4189;13/04/2022;13:15;;;;
2065;x;BLOK II_21_17;3;124,8;34,1;0,27;3789;13/04/2022;13:15;;;;
2066;x;BLOK II_21_18;2;102,5;27,1;0,26;3011;13/04/2022;13:15;;;;
2067;x;BLOK II_21_19;2;140,5;32,3;0,23;3589;13/04/2022;13:15;;;;
2068;x;BLOK II_21_20;3;147;37,7;0,26;4189;13/04/2022;13:15;;;;
2069;x;BLOK II_21_21;1;215,4;55,6;0,26;6178;13/04/2022;13:15;;;;
2070;x;BLOK II_21_22;3;40,5;10,1;0,25;1122;13/04/2022;13:15;;;;
2071;x;BLOK II_21_23;1;-4,9;-4,9;1;-544;13/04/2022;13:15;;;;
2072;x;BLOK II_21_24;1;8,8;2,4;0,27;267;13/04/2022;13:15;;;;
2073;x;BLOK II_21_25;3;182;39,4;0,22;4378;13/04/2022;13:15;;;;
2074;x;BLOK II_21_26;1;37,4;10,1;0,27;1122;13/04/2022;13:15;;;;
2075;x;BLOK II_21_27;1;24,6;9,7;0,39;1078;13/04/2022;13:15;;;;
2076;x;BLOK II_21_28;2;136,4;34,9;0,26;3878;13/04/2022;13:15;;;;
2077;x;BLOK II_21_29;2;120,9;33,5;0,28;3722;13/04/2022;13:15;;;;
2078;x;BLOK II_21_30;1;48,9;14,6;0,3;1622;13/04/2022;13:15;;;;
2079;x;BLOK II_21_31;4;248,9;73;0,29;8111;13/04/2022;13:15;;;;
2080;x;BLOK II_21_32;0;-4,9;-4,9;1;-544;13/04/2022;13:15;;;;
2081;x;BLOK II_22_1;0;-4,9;-4,9;1;-544;13/04/2022;13:23;;;;
2082;x;BLOK II_22_2;1;17,4;4,5;0,26;500;13/04/2022;13:23;;;;
2083;x;BLOK II_22_3;1;48;17,3;0,36;1922;13/04/2022;13:23;;;;
2084;x;BLOK II_22_4;2;134,8;36,1;0,27;4011;13/04/2022;13:23;;;;
2085;x;BLOK II_22_5;2;110,2;29,1;0,26;3233;13/04/2022;13:23;;;;
2086;x;BLOK II_22_6;3;172,8;39,8;0,23;4422;13/04/2022;13:23;;;;
2087;x;BLOK II_22_7;2;91,3;21,5;0,24;2389;13/04/2022;13:23;;;;
2088;x;BLOK II_22_8;3;142,8;30,8;0,22;3422;13/04/2022;13:23;;;;
2089;x;BLOK II_22_9;2;116;28,6;0,25;3178;13/04/2022;13:23;;;;
2090;x;BLOK II_22_10;2;68,6;15;0,22;1667;13/04/2022;13:23;;;;
2091;x;BLOK II_22_11;1;59,5;20,5;0,34;2278;13/04/2022;13:23;;;;
2092;x;BLOK II_22_12;0;-4,9;-4,9;1;-544;13/04/2022;13:23;;;;
2093;x;BLOK II_22_13;1;42,4;11,6;0,27;1289;13/04/2022;13:23;;;;
2094;x;BLOK II_22_14;2;80,7;21,9;0,27;2433;13/04/2022;13:23;;;;
2095;x;BLOK II_22_15;1;72,7;22,3;0,31;2478;13/04/2022;13:23;;;;
2096;x;BLOK II_22_16;3;136,6;34,8;0,25;3867;13/04/2022;13:23;;;;
2097;x;BLOK II_22_17;2;81;21,3;0,26;2367;13/04/2022;13:23;;;;
2098;x;BLOK II_22_18;3;141,6;35,6;0,25;3956;13/04/2022;13:23;;;;
2099;x;BLOK II_22_19;1;58,6;17,9;0,31;1989;13/04/2022;13:23;;;;
2100;x;BLOK II_22_20;1;24,4;6,7;0,27;744;13/04/2022;13:23;;;;
2101;x;BLOK II_22_21;3;193,8;50,5;0,26;5611;13/04/2022;13:23;;;;
2102;x;BLOK II_22_22;2;116;36,4;0,31;4044;13/04/2022;13:23;;;;
2103;x;BLOK II_22_23;2;120,3;31,5;0,26;3500;13/04/2022;13:23;;;;
2104;x;BLOK II_22_24;2;133,6;37,9;0,28;4211;13/04/2022;13:23;;;;
2105;x;BLOK II_22_25;3;157,6;36;0,23;4000;13/04/2022;13:23;;;;
2106;x;BLOK II_22_26;2;125;32,7;0,26;3633;13/04/2022;13:23;;;;
2107;x;BLOK II_22_27;1;54,8;15,3;0,28;1700;13/04/2022;13:23;;;;
2108;x;BLOK II_22_28;2;176,1;44,1;0,25;4900;13/04/2022;13:23;;;;
2109;x;BLOK II_22_29;1;84,6;30,8;0,36;3422;13/04/2022;13:23;;;;
2110;x;BLOK II_22_30;3;210,5;57;0,27;6333;13/04/2022;13:23;;;;
2111;x;BLOK II_22_31;1;31,2;7,7;0,25;856;13/04/2022;13:23;;;;
2112;x;BLOK II_22_32;3;204,6;53,5;0,26;5944;13/04/2022;13:23;;;;
2113;;BLOK II_23_1;1;64,7;20,1;0,31;2233;13/04/2022;13:31;;;;
2114;;BLOK II_23_2;2;111,2;24,6;0,22;2733;13/04/2022;13:31;;;;
2115;;BLOK II_23_3;2;169,8;47,6;0,28;5289;13/04/2022;13:31;;;;
2116;;BLOK II_23_4;3;203,5;50,6;0,25;5622;13/04/2022;13:31;;;;
2117;;BLOK II_23_5;0;-4,9;-4,9;1;-544;13/04/2022;13:31;;;;
2118;;BLOK II_23_6;0;-4,9;-4,9;1;-544;13/04/2022;13:31;;;;
2119;;BLOK II_23_7;0;-4,9;-4,9;1;-544;13/04/2022;13:31;;;;
2120;;BLOK II_23_8;3;135,3;32,6;0,24;3622;13/04/2022;13:31;;;;
2121;;BLOK II_23_9;3;224,2;56,6;0,25;6289;13/04/2022;13:31;;;;
2122;;BLOK II_23_10;3;232,4;55,6;0,24;6178;13/04/2022;13:31;;;;
2123;;BLOK II_23_11;3;225,3;63,6;0,28;7067;13/04/2022;13:31;;;;
2124;;BLOK II_23_12;3;185;45,6;0,25;5067;13/04/2022;13:31;;;;
2125;;BLOK II_23_13;2;166;47,6;0,29;5289;13/04/2022;13:31;;;;
2126;;BLOK II_23_14;2;84,5;23,1;0,27;2567;13/04/2022;13:31;;;;
2127;;BLOK II_23_15;3;140;30,1;0,22;3344;13/04/2022;13:31;;;;
2128;;BLOK II_23_16;2;87,2;22,6;0,26;2511;13/04/2022;13:31;;;;
2129;;BLOK II_23_17;2;102,3;28,6;0,28;3178;13/04/2022;13:31;;;;
2130;;BLOK II_23_18;3;206,2;52,1;0,25;5789;13/04/2022;13:31;;;;
2131;;BLOK II_23_19;3;125,4;31,1;0,25;3456;13/04/2022;13:31;;;;
2132;;BLOK II_23_20;3;130,5;30,1;0,23;3344;13/04/2022;13:31;;;;
2133;;BLOK II_23_21;1;80,4;27,1;0,34;3011;13/04/2022;13:31;;;;
2134;;BLOK II_23_22;3;205,2;55,6;0,27;6178;13/04/2022;13:31;;;;
2135;;BLOK II_23_23;3;123,9;33,6;0,27;3733;13/04/2022;13:31;;;;
2136;;BLOK II_23_24;3;207,5;57,6;0,28;6400;13/04/2022;13:31;;;;
2137;;BLOK II_23_25;0;-4,9;-4,9;1;-544;13/04/2022;13:31;;;;
2138;;BLOK II_23_26;3;166,7;35,1;0,21;3900;13/04/2022;13:31;;;;
2139;;BLOK II_23_27;0;-4,9;-4,9;1;-544;13/04/2022;13:31;;;;
2140;;BLOK II_23_28;1;50,8;16,6;0,33;1844;13/04/2022;13:31;;;;
2141;;BLOK II_23_29;3;182,8;46,1;0,25;5122;13/04/2022;13:31;;;;
2142;;BLOK II_23_30;2;100,5;30,6;0,3;3400;13/04/2022;13:31;;;;
2143;;BLOK II_23_31;0;-4,9;-4,9;1;-544;13/04/2022;13:31;;;;
2144;;BLOK II_23_32;5;427,6;101,6;0,24;11289;13/04/2022;13:31;;;;
2145;;BLOK II_24_1;2;124,1;35,1;0,28;3900;13/04/2022;13:39;;;;
2146;;BLOK II_24_2;2;113,6;29,1;0,26;3233;13/04/2022;13:39;;;;
2147;;BLOK II_24_3;2;120,2;30,6;0,25;3400;13/04/2022;13:39;;;;
2148;;BLOK II_24_4;2;141,3;40,1;0,28;4456;13/04/2022;13:39;;;;
2149;;BLOK II_24_5;1;52,9;14,1;0,27;1567;13/04/2022;13:39;;;;
2150;;BLOK II_24_6;2;167,6;45,6;0,27;5067;13/04/2022;13:39;;;;
2151;;BLOK II_24_7;2;79,2;20,1;0,25;2233;13/04/2022;13:39;;;;
2152;;BLOK II_24_8;2;122,1;30,6;0,25;3400;13/04/2022;13:39;;;;
2153;;BLOK II_24_9;3;150,3;34,6;0,23;3844;13/04/2022;13:39;;;;
2154;;BLOK II_24_10;2;107,2;24,1;0,22;2678;13/04/2022;13:39;;;;
2155;;BLOK II_24_11;3;159,7;39,6;0,25;4400;13/04/2022;13:39;;;;
2156;;BLOK II_24_12;2;100,4;23,6;0,24;2622;13/04/2022;13:39;;;;
2157;;BLOK II_24_13;2;86,4;20,1;0,23;2233;13/04/2022;13:39;;;;
2158;;BLOK II_24_14;2;95,4;25,1;0,26;2789;13/04/2022;13:39;;;;
2159;;BLOK II_24_15;2;72,7;16,1;0,22;1789;13/04/2022;13:39;;;;
2160;;BLOK II_24_16;1;8,5;2,6;0,31;289;13/04/2022;13:39;;;;
2161;;BLOK II_24_17;3;156,1;42,1;0,27;4678;13/04/2022;13:39;;;;
2162;;BLOK II_24_18;3;200,4;50,6;0,25;5622;13/04/2022;13:39;;;;
2163;;BLOK II_24_19;1;15,8;4,6;0,29;511;13/04/2022;13:39;;;;
2164;;BLOK II_24_20;3;160;44,6;0,28;4956;13/04/2022;13:39;;;;
2165;;BLOK II_24_21;1;20,3;6,6;0,33;733;13/04/2022;13:39;;;;
2166;;BLOK II_24_22;1;71,7;21,6;0,3;2400;13/04/2022;13:39;;;;
2167;;BLOK II_24_23;1;90,5;30,1;0,33;3344;13/04/2022;13:39;;;;
2168;;BLOK II_24_24;2;64,8;16,6;0,26;1844;13/04/2022;13:39;;;;
2169;;BLOK II_24_25;3;154,8;38,6;0,25;4289;13/04/2022;13:39;;;;
2170;;BLOK II_24_26;2;91,4;24,6;0,27;2733;13/04/2022;13:39;;;;
2171;;BLOK II_24_27;3;177,6;44,1;0,25;4900;13/04/2022;13:39;;;;
2172;;BLOK II_24_28;2;91,7;24,6;0,27;2733;13/04/2022;13:39;;;;
2173;;BLOK II_24_29;1;-4,9;-4,9;1;-544;13/04/2022;13:39;;;;
2174;;BLOK II_24_30;1;24,5;5,6;0,23;622;13/04/2022;13:39;;;;
2175;;BLOK II_24_31;2;130,7;36,1;0,28;4011;13/04/2022;13:39;;;;
2176;;BLOK II_24_32;2;210,6;53,1;0,25;5900;13/04/2022;13:39;;;;
2177;x;BLOK II_25_1;2;116,2;30,3;0,26;3367;13/04/2022;13:45;;;;
2178;x;BLOK II_25_2;2;72,4;21,2;0,29;2356;13/04/2022;13:45;;;;
2179;x;BLOK II_25_3;3;148,5;36,5;0,25;4056;13/04/2022;13:45;;;;
2180;x;BLOK II_25_4;2;117,4;30,4;0,26;3378;13/04/2022;13:45;;;;
2181;x;BLOK II_25_5;2;148,5;37,2;0,25;4133;13/04/2022;13:45;;;;
2182;x;BLOK II_25_6;3;136,1;32,7;0,24;3633;13/04/2022;13:45;;;;
2183;x;BLOK II_25_7;3;165,3;38,5;0,23;4278;13/04/2022;13:45;;;;
2184;x;BLOK II_25_8;1;41,3;13;0,31;1444;13/04/2022;13:45;;;;
2185;x;BLOK II_25_9;2;78,1;18,8;0,24;2089;13/04/2022;13:45;;;;
2186;x;BLOK II_25_10;2;74,4;17,3;0,23;1922;13/04/2022;13:45;;;;
2187;x;BLOK II_25_11;3;124;31;0,25;3444;13/04/2022;13:45;;;;
2188;x;BLOK II_25_12;2;112,9;29;0,26;3222;13/04/2022;13:45;;;;
2189;x;BLOK II_25_13;3;177,4;42,9;0,24;4767;13/04/2022;13:45;;;;
2190;x;BLOK II_25_14;0;-4,9;-4,9;1;-544;13/04/2022;13:45;;;;
2191;x;BLOK II_25_15;2;133,7;35,7;0,27;3967;13/04/2022;13:45;;;;
2192;x;BLOK II_25_16;2;65,2;17,9;0,27;1989;13/04/2022;13:45;;;;
2193;x;BLOK II_25_17;1;68,2;21,3;0,31;2367;13/04/2022;13:45;;;;
2194;x;BLOK II_25_18;3;85,4;25,1;0,29;2789;13/04/2022;13:45;;;;
2195;x;BLOK II_25_19;1;185,7;46,8;0,25;5200;13/04/2022;13:45;;;;
2196;x;BLOK II_25_20;3;72,1;19,5;0,27;2167;13/04/2022;13:45;;;;
2197;x;BLOK II_25_21;2;158,7;39,7;0,25;4411;13/04/2022;13:45;;;;
2198;x;BLOK II_25_22;1;96;26,4;0,28;2933;13/04/2022;13:45;;;;
2199;x;BLOK II_25_23;2;41,7;13,4;0,32;1489;13/04/2022;13:45;;;;
2200;x;BLOK II_25_24;3;137,8;36,3;0,26;4033;13/04/2022;13:45;;;;
2201;x;BLOK II_25_25;2;79,8;18,9;0,24;2100;13/04/2022;13:45;;;;
2202;x;BLOK II_25_26;2;122,9;33;0,27;3667;13/04/2022;13:45;;;;
2203;x;BLOK II_25_27;0;-4,9;-4,9;1;-544;13/04/2022;13:45;;;;
2204;x;BLOK II_25_28;2;62,6;18,9;0,3;2100;13/04/2022;13:45;;;;
2205;x;BLOK II_25_29;3;152,1;41,6;0,27;4622;13/04/2022;13:45;;;;
2206;x;BLOK II_25_30;1;20,8;6,9;0,33;767;13/04/2022;13:45;;;;
2207;x;BLOK II_25_31;3;150;41,8;0,28;4644;13/04/2022;13:45;;;;
2208;x;BLOK II_25_32;4;206,9;52,1;0,25;5789;13/04/2022;13:45;;;;
2209;;BLOK II_26_1;2;91,2;25,6;0,28;2844;13/04/2022;13:52;;;;
2210;;BLOK II_26_2;3;135;42,6;0,32;4733;13/04/2022;13:52;;;;
2211;;BLOK II_26_3;2;78;21,6;0,28;2400;13/04/2022;13:52;;;;
2212;;BLOK II_26_4;1;55,8;18,6;0,33;2067;13/04/2022;13:52;;;;
2213;;BLOK II_26_5;0;-4,9;-4,9;1;-544;13/04/2022;13:52;;;;
2214;;BLOK II_26_6;2;72;21,6;0,3;2400;13/04/2022;13:52;;;;
2215;;BLOK II_26_7;2;51,8;14,1;0,27;1567;13/04/2022;13:52;;;;
2216;;BLOK II_26_8;0;-4,9;-4,9;1;-544;13/04/2022;13:52;;;;
2217;;BLOK II_26_9;3;132,3;34,1;0,26;3789;13/04/2022;13:52;;;;
2218;;BLOK II_26_10;2;78,9;25,1;0,32;2789;13/04/2022;13:52;;;;
2219;;BLOK II_26_11;3;176,1;50,6;0,29;5622;13/04/2022;13:52;;;;
2220;;BLOK II_26_12;2;115,2;29,6;0,26;3289;13/04/2022;13:52;;;;
2221;;BLOK II_26_13;0;-4,9;-4,9;1;-544;13/04/2022;13:52;;;;
2222;;BLOK II_26_14;3;142,5;41,6;0,29;4622;13/04/2022;13:52;;;;
2223;;BLOK II_26_15;1;54,8;14,1;0,26;1567;13/04/2022;13:52;;;;
2224;;BLOK II_26_16;3;123,8;36,6;0,3;4067;13/04/2022;13:52;;;;
2225;;BLOK II_26_17;2;64;18,1;0,28;2011;13/04/2022;13:52;;;;
2226;;BLOK II_26_18;3;129,9;41,1;0,32;4567;13/04/2022;13:52;;;;
2227;;BLOK II_26_19;1;88,4;44,6;0,5;4956;13/04/2022;13:52;;;;
2228;;BLOK II_26_20;4;155,6;43,1;0,28;4789;13/04/2022;13:52;;;;
2229;;BLOK II_26_21;3;79,8;19,6;0,25;2178;13/04/2022;13:52;;;;
2230;;BLOK II_26_22;2;69,8;20,1;0,29;2233;13/04/2022;13:52;;;;
2231;;BLOK II_26_23;3;124,2;35,1;0,28;3900;13/04/2022;13:52;;;;
2232;;BLOK II_26_24;3;133,4;34,6;0,26;3844;13/04/2022;13:52;;;;
2233;;BLOK II_26_25;2;69;19,6;0,28;2178;13/04/2022;13:52;;;;
2234;;BLOK II_26_26;3;87,4;23,1;0,26;2567;13/04/2022;13:52;;;;
2235;;BLOK II_26_27;3;95,5;26,6;0,28;2956;13/04/2022;13:52;;;;
2236;;BLOK II_26_28;3;99,2;23,6;0,24;2622;13/04/2022;13:52;;;;
2237;;BLOK II_26_29;2;78,3;22,1;0,28;2456;13/04/2022;13:52;;;;
2238;;BLOK II_26_30;3;133,1;36,6;0,27;4067;13/04/2022;13:52;;;;
2239;;BLOK II_26_31;4;181,8;48,6;0,27;5400;13/04/2022;13:52;;;;
2240;;BLOK II_26_32;5;290,8;70,6;0,24;7844;13/04/2022;13:52;;;;
2241;;BLOK II_27_1;3;117,4;33,6;0,29;3733;13/04/2022;14:04;;;;
2242;;BLOK II_27_2;3;126,1;37,6;0,3;4178;13/04/2022;14:04;;;;
2243;;BLOK II_27_3;3;100,9;26,1;0,26;2900;13/04/2022;14:04;;;;
2244;;BLOK II_27_4;2;122,9;35,6;0,29;3956;13/04/2022;14:04;;;;
2245;;BLOK II_27_5;4;160,5;44,1;0,27;4900;13/04/2022;14:04;;;;
2246;;BLOK II_27_6;2;77,1;24,6;0,32;2733;13/04/2022;14:04;;;;
2247;;BLOK II_27_7;2;108,9;23,1;0,21;2567;13/04/2022;14:04;;;;
2248;;BLOK II_27_8;3;140,4;33,1;0,24;3678;13/04/2022;14:04;;;;
2249;;BLOK II_27_9;2;47,1;12,1;0,26;1344;13/04/2022;14:04;;;;
2250;;BLOK II_27_10;3;144,5;37,6;0,26;4178;13/04/2022;14:04;;;;
2251;;BLOK II_27_11;2;86,2;29,1;0,34;3233;13/04/2022;14:04;;;;
